,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
83,82.61,50.42,0.52631578947368,8,4429.688885,75.00,25.00,Tap
84,80.0,42.13,0.5,10,4133.527867,10.00,90.00,Spray
85,73.21,49.89,0.48780487804878,15,4640.813274,46.67,53.33,Spray
86,76.92,42.41,0.5,12,4570.534142,41.67,58.33,Spray
87,72.73,35.77,0.5,15,5220.95954,40.00,60.00,Spray
88,76.0,53.47,0.52631578947368,12,4584.677574,41.67,58.33,Spray
89,75.93,41.07,0.48780487804878,13,4749.153871,46.15,53.85,Spray
90,74.07,51.98,0.5,14,4231.123892,21.43,78.57,Spray
91,100.0,58.96,1.81818181818182,0,1421.954493,0.00,0.00,Calm
92,88.46,57.25,0.8695652173913,3,2482.059196,66.67,33.33,Calm
93,100.0,62.68,1.11111111111111,0,1967.913856,0.00,0.00,Calm
94,88.89,43.6,2.5,1,5718.635468,100.00,0.00,Calm
95,95.83,54.26,0.8695652173913,1,2739.01019,100.00,0.00,Calm
96,100.0,57.72,0.83333333333333,0,2661.837212,0.00,0.00,Calm
97,92.59,54.55,0.8,2,2391.665356,50.00,50.00,Calm
98,100.0,55.31,0.8,0,2431.706387,0.00,0.00,Calm
99,96.15,58.76,0.8,1,2715.627485,0.00,100.00,Calm
100,100.0,62.61,0.76923076923077,0,2440.150865,0.00,0.00,Calm
101,75.0,51.0,0.66666666666667,10,3711.730263,40.00,60.00,Spray
102,75.61,54.02,0.64516129032258,10,3506.684082,0.00,100.00,Spray
103,91.43,40.51,0.625,3,4084.854776,33.33,66.67,Calm
104,78.57,43.34,0.60606060606061,9,3577.734075,25.00,75.00,Spray
105,83.78,48.31,0.64516129032258,6,3777.980902,33.33,66.67,Tap
106,74.42,45.26,0.625,11,3283.177834,36.36,63.64,Spray
107,70.0,54.32,0.71428571428571,12,3198.064695,33.33,66.67,Spray
108,88.57,40.74,0.64516129032258,4,3512.587219,25.00,75.00,Calm
109,100.0,58.4,0.71428571428571,0,3760.275267,0.00,0.00,Calm
110,85.29,54.43,0.68965517241379,5,3545.731092,20.00,80.00,Tap
111,100.0,49.19,0.64516129032258,0,3042.376425,0.00,0.00,Calm
112,93.75,54.77,0.66666666666667,2,2845.802706,0.00,100.00,Calm
113,90.32,55.81,0.71428571428571,3,3105.826802,0.00,100.00,Calm
114,93.75,62.71,0.66666666666667,2,2998.398269,0.00,100.00,Calm
115,100.0,62.04,0.66666666666667,0,2614.887858,0.00,0.00,Calm
116,96.77,60.06,0.66666666666667,1,3178.158952,0.00,100.00,Calm
117,97.83,50.69,0.44444444444444,1,4324.857623,0.00,100.00,Tap
118,92.31,50.27,0.41666666666667,4,3917.892331,75.00,25.00,Reaction
119,83.02,47.21,0.45454545454545,9,4631.185902,55.56,44.44,Flick
120,88.46,48.89,0.43478260869565,6,3935.12,83.33,16.67,Tap
121,91.84,51.19,0.44444444444444,4,4132.338273,50.00,50.00,Tap
122,96.15,45.16,0.4,2,4822.679922,50.00,50.00,Reaction
123,76.79,48.17,0.46511627906977,13,4667.60288,46.15,53.85,Flick
124,84.91,46.82,0.44444444444444,8,4952.738531,37.50,62.50,Flick
125,83.02,46.84,0.45454545454545,9,4580.663297,66.67,33.33,Flick
126,76.79,47.12,0.46511627906977,13,4437.899025,30.77,69.23,Flick
