,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,79.5454545454545%,57.0924538373947%,0.57142857142857ms,9,3773.02390834263,22.2222222222222%,77.7777777777778%
0,85.1063829787234%,48.2597602158785%,0.5ms,7,4586.62078857422,42.8571428571429%,57.1428571428571%
0,83.6734693877551%,52.1605544655425%,0.48780487804878ms,8,4035.67609089177,25.0%,75.0%
0,82.6086956521739%,44.8783579625581%,0.52631578947368ms,8,4332.5641640111,12.5%,87.5%
0,82.6086956521739%,50.4178681655934%,0.52631578947368ms,8,4429.68888453433,75.0%,25.0%
0,80.0%,42.1308170817792%,0.5ms,10,4133.52786712647,10.0%,90.0%
0,73.2142857142857%,49.891829654211%,0.48780487804878ms,15,4640.81327410442,46.6666666666667%,53.3333333333333%
0,76.9230769230769%,42.4063592404127%,0.5ms,12,4570.53414154053,41.6666666666667%,58.3333333333333%
0,72.7272727272727%,35.7683280855417%,0.5ms,15,5220.95953979492,40.0%,60.0%
0,76.0%,53.4655990373147%,0.52631578947368ms,12,4584.67757375617,41.6666666666667%,58.3333333333333%
0,75.9259259259259%,41.0660001880875%,0.48780487804878ms,13,4749.15387111757,46.1538461538462%,53.8461538461538%
0,74.0740740740741%,51.976140588522%,0.5ms,14,4231.12389221191,21.4285714285714%,78.5714285714286%
