,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,94.7368421052632%,53.6888492811057%,0.55555555555556ms,2,3612.31285264757,50.0%,50.0%
0,89.1891891891892%,49.841642741001%,0.60606060606061ms,4,3616.30529415246,50.0%,50.0%
0,91.6666666666667%,52.9890849960573%,0.60606060606061ms,3,3944.16734175249,0.0%,100.0%
0,94.4444444444444%,59.7712562145556%,0.58823529411765ms,2,4066.70266903148,100.0%,0.0%
0,94.2857142857143%,54.481105935393%,0.60606060606061ms,2,4152.54283188329,0.0%,100.0%
0,91.6666666666667%,48.4119455471183%,0.60606060606061ms,3,3516.50902580492,66.6666666666667%,33.3333333333333%
0,91.8918918918919%,56.6720253623584%,0.58823529411765ms,3,4455.13842773438,33.3333333333333%,66.6666666666667%
0,100.0%,59.7423288752051%,0.58823529411765ms,0,4457.8725532083,nan%,nan%
0,94.5945945945946%,53.3051151462964%,0.57142857142857ms,2,4217.78561662946,50.0%,50.0%
0,92.1052631578947%,48.0606531138931%,0.57142857142857ms,3,3642.05774274554,66.6666666666667%,33.3333333333333%
0,90.0%,57.4893972629474%,0.55555555555556ms,4,3238.35825941298,25.0%,75.0%
0,94.7368421052632%,49.4991533251272%,0.55555555555556ms,2,3884.69225226508,50.0%,50.0%
0,85.7142857142857%,49.171217241221%,0.55555555555556ms,6,4204.19161648221,33.3333333333333%,66.6666666666667%
0,86.4864864864865%,49.1749999579042%,0.625ms,5,4461.02188873291,40.0%,60.0%
0,94.5945945945946%,53.0330852844885%,0.57142857142857ms,2,4057.69660295759,50.0%,50.0%
0,84.6153846153846%,48.0600807702903%,0.60606060606061ms,6,4122.65412856593,0.0%,100.0%
