,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,75.0%,51.0020219286283%,0.66666666666667ms,10,3711.73026326497,40.0%,60.0%
0,75.609756097561%,54.0241649915134%,0.64516129032258ms,10,3506.68408203125,0.0%,100.0%
0,91.4285714285714%,40.5149041675031%,0.625ms,3,4084.85477638245,33.3333333333333%,66.6666666666667%
0,78.5714285714286%,43.3389146671151%,0.60606060606061ms,9,3577.73407537287,25.0%,75.0%
0,83.7837837837838%,48.3115737476657%,0.64516129032258ms,6,3777.98090190272,33.3333333333333%,66.6666666666667%
0,74.4186046511628%,45.2559018041939%,0.625ms,11,3283.17783355713,36.3636363636364%,63.6363636363636%
0,70.0%,54.3179265223444%,0.71428571428571ms,12,3198.0646950858,33.3333333333333%,66.6666666666667%
0,88.5714285714286%,40.7404237216519%,0.64516129032258ms,4,3512.58721923828,25.0%,75.0%
