,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,100.0%,58.3971444933143%,0.71428571428571ms,0,3760.27526746477,nan%,nan%
0,85.2941176470588%,54.4270060185728%,0.68965517241379ms,5,3545.73109172953,20.0%,80.0%
0,100.0%,49.1930258850898%,0.64516129032258ms,0,3042.37642546623,nan%,nan%
0,93.75%,54.7700811146448%,0.66666666666667ms,2,2845.80270589193,0.0%,100.0%
0,90.3225806451613%,55.8057637086936%,0.71428571428571ms,3,3105.82680184501,0.0%,100.0%
0,93.75%,62.7102668086688%,0.66666666666667ms,2,2998.39826863607,0.0%,100.0%
0,100.0%,62.0417909324169%,0.66666666666667ms,0,2614.88785807292,nan%,nan%
0,96.7741935483871%,60.062190964818%,0.66666666666667ms,1,3178.15895182292,0.0%,100.0%
