,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,86.8421052631579%,50.4971086301587%,0.60606060606061ms,5,4304.41870117188,100.0%,0.0%
0,81.6326530612245%,48.2555091008544%,0.5ms,9,4025.10308380127,77.7777777777778%,22.2222222222222%
0,84.0%,44.491666307052%,0.47619047619048ms,8,4132.85675484794,62.5%,37.5%
0,80.3921568627451%,51.2726937488812%,0.48780487804878ms,10,4271.14355766482,60.0%,40.0%
0,86.2745098039216%,38.9813835647973%,0.45454545454545ms,7,4334.60332974521,85.7142857142857%,14.2857142857143%
0,77.7777777777778%,42.551470157646%,0.47619047619048ms,12,4522.31164550781,58.3333333333333%,41.6666666666667%
0,75.4716981132076%,46.8891012854874%,0.5ms,13,4282.82278442383,41.6666666666667%,58.3333333333333%
