,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,100.00%,58.96%,1.81818181818182ms,0,1421.954493,nan%,nan%,Calm
0,88.46%,57.25%,0.8695652173913ms,3,2482.059196,66.67%,33.33%,Calm
0,100.00%,62.68%,1.11111111111111ms,0,1967.913856,nan%,nan%,Calm
0,88.89%,43.60%,2.5ms,1,5718.635468,100.00%,0.00%,Calm
0,95.83%,54.26%,0.8695652173913ms,1,2739.01019,100.00%,0.00%,Calm
0,100.00%,57.72%,0.83333333333333ms,0,2661.837212,nan%,nan%,Calm
0,92.59%,54.55%,0.8ms,2,2391.665356,50.00%,50.00%,Calm
0,100.00%,55.31%,0.8ms,0,2431.706387,nan%,nan%,Calm
0,96.15%,58.76%,0.8ms,1,2715.627485,0.00%,100.00%,Calm
0,100.00%,62.61%,0.76923076923077ms,0,2440.150865,nan%,nan%,Calm
