,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,94.74%,53.69%,0.55555555555556ms,2,3612.312853,50.00%,50.00%,Calm
0,89.19%,49.84%,0.60606060606061ms,4,3616.305294,50.00%,50.00%,Tap
0,91.67%,52.99%,0.60606060606061ms,3,3944.167342,0.00%,100.00%,Calm
0,94.44%,59.77%,0.58823529411765ms,2,4066.702669,100.00%,0.00%,Calm
0,94.29%,54.48%,0.60606060606061ms,2,4152.542832,0.00%,100.00%,Calm
0,91.67%,48.41%,0.60606060606061ms,3,3516.509026,66.67%,33.33%,Tap
0,91.89%,56.67%,0.58823529411765ms,3,4455.138428,33.33%,66.67%,Tap
0,100.00%,59.74%,0.58823529411765ms,0,4457.872553,nan%,nan%,Calm
0,94.59%,53.31%,0.57142857142857ms,2,4217.785617,50.00%,50.00%,Calm
0,92.11%,48.06%,0.57142857142857ms,3,3642.057743,66.67%,33.33%,Calm
0,90.00%,57.49%,0.55555555555556ms,4,3238.358259,25.00%,75.00%,Tap
0,94.74%,49.50%,0.55555555555556ms,2,3884.692252,50.00%,50.00%,Calm
0,85.71%,49.17%,0.55555555555556ms,6,4204.191616,33.33%,66.67%,Flick
0,86.49%,49.17%,0.625ms,5,4461.021889,40.00%,60.00%,Tap
0,94.59%,53.03%,0.57142857142857ms,2,4057.696603,50.00%,50.00%,Calm
0,84.62%,48.06%,0.60606060606061ms,6,4122.654129,0.00%,100.00%,Tap
