,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,100.00%,58.40%,0.71428571428571ms,0,3760.275267,nan%,nan%,Calm
0,85.29%,54.43%,0.68965517241379ms,5,3545.731092,20.00%,80.00%,Tap
0,100.00%,49.19%,0.64516129032258ms,0,3042.376425,nan%,nan%,Calm
0,93.75%,54.77%,0.66666666666667ms,2,2845.802706,0.00%,100.00%,Calm
0,90.32%,55.81%,0.71428571428571ms,3,3105.826802,0.00%,100.00%,Calm
0,93.75%,62.71%,0.66666666666667ms,2,2998.398269,0.00%,100.00%,Calm
0,100.00%,62.04%,0.66666666666667ms,0,2614.887858,nan%,nan%,Calm
0,96.77%,60.06%,0.66666666666667ms,1,3178.158952,0.00%,100.00%,Calm
