,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,75.00%,51.00%,0.66666666666667ms,10,3711.730263,40.00%,60.00%,Spray
0,75.61%,54.02%,0.64516129032258ms,10,3506.684082,0.00%,100.00%,Spray
0,91.43%,40.51%,0.625ms,3,4084.854776,33.33%,66.67%,Calm
0,78.57%,43.34%,0.60606060606061ms,9,3577.734075,25.00%,75.00%,Spray
0,83.78%,48.31%,0.64516129032258ms,6,3777.980902,33.33%,66.67%,Tap
0,74.42%,45.26%,0.625ms,11,3283.177834,36.36%,63.64%,Spray
0,70.00%,54.32%,0.71428571428571ms,12,3198.064695,33.33%,66.67%,Spray
0,88.57%,40.74%,0.64516129032258ms,4,3512.587219,25.00%,75.00%,Calm
